団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
462012,鹿児島県,鹿児島市,0.69,92.9,4.5,39.9,99.4,591263
462039,鹿児島県,鹿屋市,0.47,91.7,5.3,-,97.3,98626
462047,鹿児島県,枕崎市,0.39,89.4,7.7,-,97.1,18898
462063,鹿児島県,阿久根市,0.35,90.7,7.0,-,95.2,18147
462080,鹿児島県,出水市,0.43,86.4,7.0,-,97.7,51405
462101,鹿児島県,指宿市,0.36,91.7,9.3,16.3,98.5,37207
462136,鹿児島県,西之表市,0.29,89.5,8.9,-,96.8,14095
462144,鹿児島県,垂水市,0.29,92.1,9.2,-,95.6,12973
462152,鹿児島県,薩摩川内市,0.59,91.3,6.6,-,97.3,90536
462161,鹿児島県,日置市,0.40,92.4,8.5,0.2,95.9,46134
462179,鹿児島県,曽於市,0.31,85.7,5.9,-,98.1,32185
462187,鹿児島県,霧島市,0.55,87.2,5.3,-,97.6,123070
462195,鹿児島県,いちき串木野市,0.39,91.0,11.8,1.7,95.1,25808
462209,鹿児島県,南さつま市,0.29,88.9,7.1,-,95.8,31094
462217,鹿児島県,志布志市,0.39,82.1,10.1,-,97.3,28693
462225,鹿児島県,奄美市,0.27,91.3,9.1,-,97.3,40239
462233,鹿児島県,南九州市,0.36,92.2,6.6,-,97.5,31457
462241,鹿児島県,伊佐市,0.38,90.7,9.1,-,98.9,22748
462250,鹿児島県,姶良市,0.51,91.1,8.7,52.6,99.6,78123
463035,鹿児島県,三島村,0.06,90.6,13.5,-,90.3,344
463043,鹿児島県,十島村,0.07,91.5,4.8,-,95.2,673
463922,鹿児島県,さつま町,0.38,90.4,4.6,-,94.8,18696
464040,鹿児島県,長島町,0.19,94.7,9.9,-,97.2,9399
464520,鹿児島県,湧水町,0.30,89.9,9.4,-,96.9,8294
464686,鹿児島県,大崎町,0.35,75.4,6.5,-,94.5,11914
464821,鹿児島県,東串良町,0.28,86.5,7.8,-,96.9,6361
464902,鹿児島県,錦江町,0.19,89.0,6.5,-,96.8,6165
464911,鹿児島県,南大隅町,0.16,88.2,9.8,-,96.3,5912
464929,鹿児島県,肝付町,0.28,89.8,7.8,-,96.1,13587
465011,鹿児島県,中種子町,0.22,90.5,11.3,-,96.4,7102
465020,鹿児島県,南種子町,0.24,91.5,10.3,-,93.9,5196
